booth,name,tier,notes
"L-G1","Runpod","Gold","AI Infrastructure at developer speed"
"L-G2","Turbopuffer","Gold","Search every byte"
"L-G3","Stigg","Gold","Every AI request is a spend decision. Make it in milliseconds"
"L-G4","YugabyteDB","Gold","Showcasing Meko — Your agents could be smarter TBH. The Data Infrastructure for Agents That Work and Learn Together. Knowledge, memory, conversations, and decision traces for multi-agent systems"
"L-G5","Gravitee","Gold","One Agent Management Platform. Secure MCP Access. Cut LLM Cost, Trace Agent Traffic."
"L-G6","Meticulous","Gold","Ship code at the speed your agents write it"
"L-G7","Oxylabs","Gold","Fast-adapting infrastructure for web data"
"L-G8","Daytona","Gold","Computers for agents"
"L-G9","Orkes","Gold","Deterministic Agents"
"L-G10","Datadog","Gold","Ship production-grade AI agents fast"
"L-G11","Apache Druid","Gold","Fail or Gain, what's around the AI makes a difference."
"L-G12","Snorkel AI","Gold",NULL
"L-G13","RunLayer","Gold",NULL
"L-G14","Cleric","Gold",NULL
"L-G15","Sourcegraph","Gold",NULL
"L-G16","Temporal","Gold",NULL
"L-G17","BAND","Gold",NULL
"L-G18","Snyk","Gold","Snyk. Build fearlessly in the AI era. Your agentic security orchestration system."
"L-G19","Factory","Gold",NULL
"L-G20","Keycard","Gold",NULL
"L-G23","Qdrant","Gold",NULL
"L-G24","Zed Industries","Gold",NULL
"L-G27","Automattic","Gold",NULL
"L-G28","Resolve AI","Gold",NULL
"L-G29","Lightrun","Gold",NULL
"L-G30","FriendliAI","Gold",NULL
"L-G31","Baseten","Gold",NULL
"L-G32","Circle","Gold",NULL
"L-G33","Dynatrace","Gold",NULL
"L-G34","Apify","Gold",NULL
"L-G38","Airbyte","Gold",NULL
"L-G39","Langfuse","Gold",NULL
"L-G44","Replicated","Gold",NULL
"L-G45","PlanetScale","Gold",NULL
"L-G47","LlamaIndex","Gold",NULL
"L-G48","Tessl","Gold","Skills are the new code. Treat them that way."
"L-G49","Venice.ai","Gold",NULL
"L-G50","Composio","Gold",NULL
"L-G51","Exa","Gold",NULL
"L-G52","Telnyx","Gold",NULL
"L-G53","Deasy Labs","Gold",NULL
"L-G54","LiveKit","Gold",NULL
"L1","MiniMax","Lab Partner",NULL
"L2","Z.ai","Lab Partner",NULL
"L3","Amazon AGI SF Lab","Lab Partner",NULL
"L5","Google DeepMind","Lab Partner",NULL
"L6","OpenAI","Lab Partner",NULL
"M1","Microsoft","Presenting",NULL
"P1","Together AI","Platinum","The AI-native cloud. Deep research, peak token performance"
"P2","WorkOS","Platinum","Infrastructure for Auth (authentication & authorization)."
"P3","Neo4j","Platinum",NULL
"P4","Arize AI","Platinum","The continual learning platform for agents."
"P5","Browserbase","Platinum",NULL
"P6","Qodo","Platinum",NULL
"P7","Sonar","Platinum",NULL
"P8","Reducto","Platinum",NULL
"P9","Oracle","Platinum",NULL
"P10","Braintrust","Platinum",NULL
"P11","PayPal","Platinum",NULL
"P12","Docker","Platinum",NULL
"P13","Amazon Web Services","Platinum",NULL
"P14","Akamai","Platinum",NULL
"P15","Bright Data","Platinum","We turn the web into AI-ready data"
"P16","Unblocked","Platinum",NULL
"S1","Bem","Silver",NULL
"S2","Mezmo","Silver",NULL
"S3","CircleCI","Silver",NULL
"S4","Modal","Silver",NULL
"S5","Red Hat","Silver",NULL
"S6","Deepgram","Silver",NULL
